timestamp, x, y, z, mag, azimuth, altitude
11:37:23.821,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:28.610,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:29.153,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:29.154,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:29.698,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:29.699,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:30.244,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:30.245,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:30.802,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:30.803,   0.0000,   0.0000,   0.0000,   0.0000,    0.000,    0.000
11:37:31.352,  -0.1302,   0.0000,   0.0000,   0.1302,    0.000,    0.000
11:37:31.447,  -0.1302,   0.2504,   0.0000,   0.2822,    0.000,    0.000
11:37:31.448,  -0.1302,   0.2504,   0.2216,   0.3589,  228.489,  242.518
11:37:31.557,  -0.1302,   0.2504,   0.2216,   0.3589,  228.489,  242.518
11:37:31.557,  -0.1302,   0.2504,   0.2216,   0.3588,  228.489,  242.518
11:37:31.789,  -0.1302,   0.2501,   0.2216,   0.3586,  228.489,  242.518
11:37:31.790,  -0.1302,   0.2501,   0.2213,   0.3584,  228.486,  242.492
11:37:31.898,  -0.1302,   0.2501,   0.2213,   0.3584,  228.486,  242.492
11:37:31.899,  -0.1303,   0.2501,   0.2213,   0.3585,  228.486,  242.492
11:37:32.119,  -0.1303,   0.2500,   0.2213,   0.3584,  228.486,  242.492
11:37:32.228,  -0.1303,   0.2500,   0.2213,   0.3584,  228.487,  242.467
11:37:32.229,  -0.1303,   0.2500,   0.2213,   0.3584,  228.487,  242.467
11:37:32.230,  -0.1304,   0.2500,   0.2213,   0.3584,  228.487,  242.467
11:37:32.553,  -0.1304,   0.2500,   0.2213,   0.3584,  228.487,  242.467
11:37:32.554,  -0.1304,   0.2500,   0.2214,   0.3585,  228.472,  242.456
11:37:32.555,  -0.1304,   0.2500,   0.2214,   0.3585,  228.472,  242.456
11:37:32.556,  -0.1303,   0.2500,   0.2214,   0.3584,  228.472,  242.456
11:37:32.882,  -0.1303,   0.2500,   0.2214,   0.3585,  228.472,  242.456
11:37:32.883,  -0.1303,   0.2500,   0.2212,   0.3584,  228.498,  242.473
11:37:32.883,  -0.1303,   0.2500,   0.2212,   0.3584,  228.498,  242.473
11:37:32.884,  -0.1302,   0.2500,   0.2212,   0.3583,  228.498,  242.473
