x_r,y_r,z_r,T_r,x,y,z,T
-4269.99998,8200.99926,7259.99975,0.0,-0.13031005798339843,0.2502746356201172,0.22155760955810547,0.0
-4269.99998,8200.99926,7261.00016,0.0,-0.13031005798339843,0.2502746356201172,0.2215881396484375,0.0
-4269.99998,8197.0005,7252.99978,0.0,-0.13031005798339843,0.25015260314941407,0.22134398742675782,0.0
-4268.00013,8190.99998,7254.00019,0.0,-0.13024902740478517,0.24996948181152343,0.22137451751708984,0.0
-4269.00005,8191.99944,7250.99945,0.0,-0.1302795425415039,0.24999998291015624,0.22128294219970704,0.0
-4270.99991,8187.00027,7252.99978,0.0,-0.13034057342529298,0.24984742034912108,0.22134398742675782,0.0
-4269.99998,8189.00013,7252.00033,0.0,-0.13031005798339843,0.24990845123291017,0.22131348663330078,0.0
-4269.00005,8192.99984,7255.00011,0.0,-0.1302795425415039,0.2500305126953125,0.2214050326538086,0.0
-4267.0002,8197.0005,7255.99957,0.0,-0.13021851196289064,0.25015260314941407,0.2214355337524414,0.0
-4269.00005,8192.99984,7259.0003,0.0,-0.1302795425415039,0.2500305126953125,0.22152710876464843,0.0
-4269.00005,8190.99998,7254.00019,0.0,-0.1302795425415039,0.24996948181152343,0.22137451751708984,0.0
-4270.99991,8190.99998,7252.99978,0.0,-0.13034057342529298,0.24996948181152343,0.22134398742675782,0.0
-4269.99998,8192.99984,7252.99978,0.0,-0.13031005798339843,0.2500305126953125,0.22134398742675782,0.0
-4267.0002,8192.99984,7252.99978,0.0,-0.13021851196289064,0.2500305126953125,0.22134398742675782,0.0
-4270.99991,8194.00024,7256.99997,0.0,-0.13034057342529298,0.25006104248046873,0.22146606353759765,0.0
-4270.99991,8191.99944,7252.99978,0.0,-0.13034057342529298,0.24999998291015624,0.22134398742675782,0.0
-4270.99991,8189.00013,7255.99957,0.0,-0.13034057342529298,0.24990845123291017,0.2214355337524414,0.0
-4272.99976,8190.00053,7254.00019,0.0,-0.13040160400390624,0.24993898101806641,0.22137451751708984,0.0
-4269.00005,8192.99984,7255.00011,0.0,-0.1302795425415039,0.2500305126953125,0.2214050326538086,0.0
-4269.99998,8196.0001,7252.00033,0.0,-0.13031005798339843,0.2501220733642578,0.22131348663330078,0.0
-4269.99998,8197.0005,7252.99978,0.0,-0.13031005798339843,0.25015260314941407,0.22134398742675782,0.0
-4270.99991,8194.00024,7255.99957,0.0,-0.13034057342529298,0.25006104248046873,0.2214355337524414,0.0
-4272.00031,8187.99973,7256.99997,0.0,-0.13037110321044923,0.24987792144775392,0.22146606353759765,0.0
-4267.0002,8190.99998,7255.99957,0.0,-0.13021851196289064,0.24996948181152343,0.2214355337524414,0.0
-4269.00005,8191.99944,7256.99997,0.0,-0.1302795425415039,0.24999998291015624,0.22146606353759765,0.0
-4267.0002,8196.0001,7262.00008,0.0,-0.13021851196289064,0.2501220733642578,0.22161865478515624,0.0
-4265.00034,8191.99944,7258.00037,0.0,-0.13015748107910155,0.24999998291015624,0.2214965933227539,0.0
-4269.00005,8189.00013,7259.99975,0.0,-0.1302795425415039,0.24990845123291017,0.22155760955810547,0.0
-4265.99979,8189.00013,7259.0003,0.0,-0.1301879818725586,0.24990845123291017,0.22152710876464843,0.0
-4265.99979,8192.99984,7256.99997,0.0,-0.1301879818725586,0.2500305126953125,0.22146606353759765,0.0
-4265.00034,8196.0001,7258.00037,0.0,-0.13015748107910155,0.2501220733642578,0.2214965933227539,0.0
-4263.99994,8199.00036,7258.00037,0.0,-0.1301269512939453,0.2502136340332031,0.2214965933227539,0.0
-4265.99979,8191.99944,7262.00008,0.0,-0.1301879818725586,0.24999998291015624,0.22161865478515624,0.0
-4265.99979,8191.99944,7259.99975,0.0,-0.1301879818725586,0.24999998291015624,0.22155760955810547,0.0
-4268.00013,8190.99998,7256.99997,0.0,-0.13024902740478517,0.24996948181152343,0.22146606353759765,0.0
-4267.0002,8194.99969,7254.00019,0.0,-0.13021851196289064,0.2500915432739258,0.22137451751708984,0.0
-4263.99994,8197.0005,7262.00008,0.0,-0.1301269512939453,0.25015260314941407,0.22161865478515624,0.0
-4269.00005,8192.99984,7259.0003,0.0,-0.1302795425415039,0.2500305126953125,0.22152710876464843,0.0
-4268.00013,8190.00053,7255.00011,0.0,-0.13024902740478517,0.24993898101806641,0.2214050326538086,0.0
-4267.0002,8192.99984,7259.99975,0.0,-0.13021851196289064,0.2500305126953125,0.22155760955810547,0.0
-4268.00013,8191.99944,7259.0003,0.0,-0.13024902740478517,0.24999998291015624,0.22152710876464843,0.0
-4265.99979,8194.00024,7259.99975,0.0,-0.1301879818725586,0.25006104248046873,0.22155760955810547,0.0
-4265.99979,8197.99995,7259.0003,0.0,-0.1301879818725586,0.2501831039428711,0.22152710876464843,0.0
-4268.00013,8192.99984,7261.00016,0.0,-0.13024902740478517,0.2500305126953125,0.2215881396484375,0.0
-4265.00034,8190.99998,7259.0003,0.0,-0.13015748107910155,0.24996948181152343,0.22152710876464843,0.0
-4267.0002,8189.00013,7259.0003,0.0,-0.13021851196289064,0.24990845123291017,0.22152710876464843,0.0
-4265.00034,8194.99969,7259.0003,0.0,-0.13015748107910155,0.2500915432739258,0.22152710876464843,0.0
-4265.99979,8191.99944,7255.00011,0.0,-0.1301879818725586,0.24999998291015624,0.2214050326538086,0.0
-4262.99953,8199.00036,7259.0003,0.0,-0.13009642120361328,0.2502136340332031,0.22152710876464843,0.0
-4267.0002,8194.00024,7258.00037,0.0,-0.13021851196289064,0.25006104248046873,0.2214965933227539,0.0
